date,district,rainfall_mm,temperature_c,humidity_p,event_label
2023-04-30,Thiruvananthapuram,7.2,32.7,79.2,None
2023-05-01,Thiruvananthapuram,0.4,35.3,65.9,None
2023-05-02,Thiruvananthapuram,4.3,34.4,63.6,None
2023-05-03,Thiruvananthapuram,5.3,37.6,62.4,Heatwave
2023-05-04,Thiruvananthapuram,3.3,36.7,80.3,None
2023-05-05,Thiruvananthapuram,1.4,30.1,49.5,None
2023-05-06,Thiruvananthapuram,7.7,35.6,79.4,None
2023-05-07,Thiruvananthapuram,4.9,34.8,69.1,None
2023-05-08,Thiruvananthapuram,3.2,31.4,61.5,None
2023-05-09,Thiruvananthapuram,2.9,30.0,61.7,None
2023-05-10,Thiruvananthapuram,6.9,29.6,73.2,None
2023-05-11,Thiruvananthapuram,1.3,32.5,77.0,None
2023-05-12,Thiruvananthapuram,6.6,38.6,59.0,Heatwave
2023-05-13,Thiruvananthapuram,8.4,36.9,83.8,None
2023-05-14,Thiruvananthapuram,1.6,33.2,74.1,None
2023-05-15,Thiruvananthapuram,3.6,38.4,79.2,Heatwave
2023-05-16,Thiruvananthapuram,7.4,38.6,90.0,Heatwave
2023-05-17,Thiruvananthapuram,9.6,30.9,64.5,None
2023-05-18,Thiruvananthapuram,6.1,37.3,58.3,Heatwave
2023-05-19,Thiruvananthapuram,9.4,27.9,75.6,None
2023-05-20,Thiruvananthapuram,2.0,34.3,64.1,None
2023-05-21,Thiruvananthapuram,5.1,27.9,76.9,None
2023-05-22,Thiruvananthapuram,5.6,34.4,59.9,None
2023-05-23,Thiruvananthapuram,7.5,36.6,81.2,None
2023-05-24,Thiruvananthapuram,2.7,37.6,82.3,Heatwave
2023-05-25,Thiruvananthapuram,2.6,34.2,79.0,None
2023-05-26,Thiruvananthapuram,6.9,34.6,69.1,None
2023-05-27,Thiruvananthapuram,1.9,37.1,77.6,Heatwave
2023-05-28,Thiruvananthapuram,9.8,39.6,67.6,Heatwave
2023-05-29,Thiruvananthapuram,4.4,33.8,55.2,None
2023-05-30,Thiruvananthapuram,2.4,33.2,66.1,None
2023-05-31,Thiruvananthapuram,0.4,33.4,73.8,None
2023-06-01,Thiruvananthapuram,57.2,26.3,85.0,None
2023-06-02,Thiruvananthapuram,14.0,24.3,98.8,None
2023-06-03,Thiruvananthapuram,91.0,26.0,94.3,None
2023-06-04,Thiruvananthapuram,12.0,24.1,95.8,None
2023-06-05,Thiruvananthapuram,24.5,23.8,81.7,None
2023-06-06,Thiruvananthapuram,11.2,30.1,91.8,None
2023-06-07,Thiruvananthapuram,29.5,25.3,92.4,None
2023-06-08,Thiruvananthapuram,21.8,25.4,90.8,None
2023-06-09,Thiruvananthapuram,68.8,27.1,93.0,None
2023-06-10,Thiruvananthapuram,47.5,25.1,90.6,None
2023-06-11,Thiruvananthapuram,23.7,26.9,79.5,None
2023-06-12,Thiruvananthapuram,4.3,26.8,88.3,None
2023-06-13,Thiruvananthapuram,4.1,24.2,93.3,None
2023-06-14,Thiruvananthapuram,2.2,26.1,86.9,None
2023-06-15,Thiruvananthapuram,26.8,25.3,79.9,None
2023-06-16,Thiruvananthapuram,15.4,21.1,90.9,None
2023-06-17,Thiruvananthapuram,80.9,26.8,92.6,None
2023-06-18,Thiruvananthapuram,107.2,24.6,94.1,None
2023-06-19,Thiruvananthapuram,7.8,27.2,93.0,None
2023-06-20,Thiruvananthapuram,21.3,27.0,92.2,None
2023-06-21,Thiruvananthapuram,25.0,27.9,91.1,None
2023-06-22,Thiruvananthapuram,20.1,28.8,74.8,None
2023-06-23,Thiruvananthapuram,11.3,26.5,87.8,None
2023-06-24,Thiruvananthapuram,75.1,25.6,90.7,None
2023-06-25,Thiruvananthapuram,40.1,25.9,88.4,None
2023-06-26,Thiruvananthapuram,25.6,24.5,82.3,None
2023-06-27,Thiruvananthapuram,16.3,26.4,93.4,None
2023-06-28,Thiruvananthapuram,40.5,24.5,95.6,None
2023-06-29,Thiruvananthapuram,20.3,24.2,94.5,None
2023-06-30,Thiruvananthapuram,26.6,26.1,83.3,None
2023-07-01,Thiruvananthapuram,1.7,25.3,99.4,None
2023-07-02,Thiruvananthapuram,22.3,24.2,98.5,None
2023-07-03,Thiruvananthapuram,55.5,26.1,95.6,None
2023-07-04,Thiruvananthapuram,36.1,27.8,84.8,None
2023-07-05,Thiruvananthapuram,30.1,22.9,91.7,None
2023-07-06,Thiruvananthapuram,41.7,26.6,92.5,None
2023-07-07,Thiruvananthapuram,29.7,23.7,89.9,None
2023-07-08,Thiruvananthapuram,103.2,27.5,85.2,None
2023-07-09,Thiruvananthapuram,29.1,25.1,82.5,None
2023-07-10,Thiruvananthapuram,20.7,28.1,92.3,None
2023-07-11,Thiruvananthapuram,11.0,25.0,90.6,None
2023-07-12,Thiruvananthapuram,27.1,25.2,82.1,None
2023-07-13,Thiruvananthapuram,143.6,24.7,84.1,None
2023-07-14,Thiruvananthapuram,51.6,24.4,84.5,None
2023-07-15,Thiruvananthapuram,47.3,25.4,86.3,None
2023-07-16,Thiruvananthapuram,28.8,29.2,84.3,None
2023-07-17,Thiruvananthapuram,21.4,30.6,94.8,None
2023-07-18,Thiruvananthapuram,24.0,26.9,94.2,None
2023-07-19,Thiruvananthapuram,14.9,25.5,89.3,None
2023-07-20,Thiruvananthapuram,78.3,25.3,99.6,None
2023-07-21,Thiruvananthapuram,13.8,29.2,95.1,None
2023-07-22,Thiruvananthapuram,27.8,27.4,88.1,None
2023-07-23,Thiruvananthapuram,110.9,25.5,89.4,None
2023-07-24,Thiruvananthapuram,34.1,24.3,87.3,None
2023-07-25,Thiruvananthapuram,30.9,25.4,89.6,None
2023-07-26,Thiruvananthapuram,20.3,24.1,89.6,None
2023-07-27,Thiruvananthapuram,60.4,24.1,92.0,None
2023-07-28,Thiruvananthapuram,53.2,27.8,87.0,None
2023-07-29,Thiruvananthapuram,19.9,22.6,98.5,None
2023-07-30,Thiruvananthapuram,44.7,25.5,79.9,None
2023-07-31,Thiruvananthapuram,96.2,25.7,88.0,None
2023-08-01,Thiruvananthapuram,21.6,26.9,97.7,None
2023-08-02,Thiruvananthapuram,45.0,27.0,88.7,None
2023-08-03,Thiruvananthapuram,27.4,25.5,88.9,None
2023-08-04,Thiruvananthapuram,28.7,23.8,87.2,None
2023-08-05,Thiruvananthapuram,11.3,26.8,96.6,None
2023-08-06,Thiruvananthapuram,84.0,25.8,94.4,None
2023-08-07,Thiruvananthapuram,25.5,26.7,87.7,None
2023-08-08,Thiruvananthapuram,24.8,28.5,81.8,None
2023-08-09,Thiruvananthapuram,21.1,26.1,85.7,None
2023-08-10,Thiruvananthapuram,45.3,26.6,94.4,None
2023-08-11,Thiruvananthapuram,52.1,24.1,90.7,None
2023-08-12,Thiruvananthapuram,36.9,26.8,100.0,None
2023-08-13,Thiruvananthapuram,15.6,26.9,88.7,None
2023-08-14,Thiruvananthapuram,45.5,25.4,85.5,None
2023-08-15,Thiruvananthapuram,60.6,25.9,86.9,None
2023-08-16,Thiruvananthapuram,61.0,25.8,89.7,None
2023-08-17,Thiruvananthapuram,47.5,23.8,89.8,None
2023-08-18,Thiruvananthapuram,3.6,24.9,85.8,None
2023-08-19,Thiruvananthapuram,43.7,26.9,87.2,None
2023-08-20,Thiruvananthapuram,25.4,25.3,94.5,None
2023-08-21,Thiruvananthapuram,100.9,30.1,93.9,None
2023-08-22,Thiruvananthapuram,42.5,25.5,88.0,None
2023-08-23,Thiruvananthapuram,30.1,25.3,92.7,None
2023-08-24,Thiruvananthapuram,74.6,26.6,100.0,None
2023-08-25,Thiruvananthapuram,31.6,25.8,95.2,None
2023-08-26,Thiruvananthapuram,5.7,25.5,82.3,None
2023-08-27,Thiruvananthapuram,63.6,27.2,97.9,None
2023-08-28,Thiruvananthapuram,10.7,27.7,86.5,None
2023-08-29,Thiruvananthapuram,57.7,27.6,92.2,None
2023-08-30,Thiruvananthapuram,102.8,26.4,83.4,None
2023-08-31,Thiruvananthapuram,73.5,25.1,87.0,None
2023-09-01,Thiruvananthapuram,88.0,31.7,89.9,None
2023-09-02,Thiruvananthapuram,18.2,25.0,88.4,None
2023-09-03,Thiruvananthapuram,47.6,22.8,94.6,None
2023-09-04,Thiruvananthapuram,16.9,25.6,90.2,None
2023-09-05,Thiruvananthapuram,14.9,26.2,86.9,None
2023-09-06,Thiruvananthapuram,62.9,26.4,98.2,None
2023-09-07,Thiruvananthapuram,34.1,30.4,81.4,None
2023-09-08,Thiruvananthapuram,50.5,26.1,93.2,None
2023-09-09,Thiruvananthapuram,137.0,27.0,95.9,None
2023-09-10,Thiruvananthapuram,26.4,20.8,100.0,None
2023-09-11,Thiruvananthapuram,63.0,23.9,94.2,None
2023-09-12,Thiruvananthapuram,46.1,29.9,92.1,None
2023-09-13,Thiruvananthapuram,27.1,26.4,97.1,None
2023-09-14,Thiruvananthapuram,31.4,26.1,82.5,None
2023-09-15,Thiruvananthapuram,40.0,23.7,96.3,None
2023-09-16,Thiruvananthapuram,72.2,29.1,94.1,None
2023-09-17,Thiruvananthapuram,93.8,25.3,93.1,None
2023-09-18,Thiruvananthapuram,25.7,23.4,81.7,None
2023-09-19,Thiruvananthapuram,9.6,29.3,94.3,None
2023-09-20,Thiruvananthapuram,26.9,26.9,90.3,None
2023-09-21,Thiruvananthapuram,36.7,24.2,100.0,None
2023-09-22,Thiruvananthapuram,47.4,27.4,86.6,None
2023-09-23,Thiruvananthapuram,39.2,29.2,94.8,None
2023-09-24,Thiruvananthapuram,70.4,25.7,92.4,None
2023-09-25,Thiruvananthapuram,56.7,24.1,87.7,None
2023-09-26,Thiruvananthapuram,17.3,25.2,96.8,None
2023-09-27,Thiruvananthapuram,5.4,22.9,89.5,None
2023-09-28,Thiruvananthapuram,83.9,24.8,93.8,None
2023-09-29,Thiruvananthapuram,20.7,30.0,91.4,None
2023-09-30,Thiruvananthapuram,58.2,23.3,82.4,None
2023-10-01,Thiruvananthapuram,23.0,25.9,81.4,None
2023-10-02,Thiruvananthapuram,11.5,28.0,86.0,None
2023-10-03,Thiruvananthapuram,7.7,28.9,85.7,None
2023-10-04,Thiruvananthapuram,23.4,24.2,88.7,None
2023-10-05,Thiruvananthapuram,21.2,27.3,87.8,None
2023-10-06,Thiruvananthapuram,15.1,25.5,90.0,None
2023-10-07,Thiruvananthapuram,40.8,26.9,81.7,None
2023-10-08,Thiruvananthapuram,26.7,25.3,75.9,None
2023-10-09,Thiruvananthapuram,28.7,28.5,92.0,None
2023-10-10,Thiruvananthapuram,20.0,29.6,76.7,None
2023-10-11,Thiruvananthapuram,43.3,25.7,78.3,None
2023-10-12,Thiruvananthapuram,45.7,26.9,89.5,None
2023-10-13,Thiruvananthapuram,18.3,28.1,85.5,None
2023-10-14,Thiruvananthapuram,39.3,27.8,89.9,None
2023-10-15,Thiruvananthapuram,11.3,25.5,83.0,None
2023-10-16,Thiruvananthapuram,42.7,26.5,87.9,None
2023-10-17,Thiruvananthapuram,12.3,26.5,78.9,None
2023-10-18,Thiruvananthapuram,25.3,29.6,85.6,None
2023-10-19,Thiruvananthapuram,25.2,28.8,80.2,None
2023-10-20,Thiruvananthapuram,1.8,27.4,79.6,None
2023-10-21,Thiruvananthapuram,8.2,25.5,77.2,None
2023-10-22,Thiruvananthapuram,25.9,26.6,87.5,None
2023-10-23,Thiruvananthapuram,36.7,28.6,91.0,None
2023-10-24,Thiruvananthapuram,45.9,28.1,84.9,None
2023-10-25,Thiruvananthapuram,25.0,26.7,82.8,None
2023-10-26,Thiruvananthapuram,22.0,27.3,99.1,None
2023-10-27,Thiruvananthapuram,12.7,23.5,93.1,None
2023-10-28,Thiruvananthapuram,24.5,25.9,87.4,None
2023-10-29,Thiruvananthapuram,15.3,28.4,86.9,None
2023-10-30,Thiruvananthapuram,59.1,28.9,84.7,None
2023-10-31,Thiruvananthapuram,11.0,24.4,86.6,None
2023-11-01,Thiruvananthapuram,14.0,26.2,75.1,None
2023-11-02,Thiruvananthapuram,42.3,25.8,86.2,None
2023-11-03,Thiruvananthapuram,3.9,26.0,84.9,None
2023-11-04,Thiruvananthapuram,21.0,25.7,79.6,None
2023-11-05,Thiruvananthapuram,10.7,29.8,85.1,None
2023-11-06,Thiruvananthapuram,7.6,24.7,80.9,None
2023-11-07,Thiruvananthapuram,66.5,24.7,81.4,None
2023-11-08,Thiruvananthapuram,38.1,27.3,82.6,None
2023-11-09,Thiruvananthapuram,25.7,24.7,81.8,None
2023-11-10,Thiruvananthapuram,27.8,29.5,85.0,None
2023-11-11,Thiruvananthapuram,69.2,23.6,85.1,None
2023-11-12,Thiruvananthapuram,72.4,30.1,81.7,None
2023-11-13,Thiruvananthapuram,30.3,24.1,84.4,None
2023-11-14,Thiruvananthapuram,10.3,24.8,85.2,None
2023-11-15,Thiruvananthapuram,4.2,25.9,84.5,None
2023-11-16,Thiruvananthapuram,38.6,25.5,96.6,None
2023-11-17,Thiruvananthapuram,23.7,27.9,82.6,None
2023-11-18,Thiruvananthapuram,39.1,28.4,81.2,None
2023-11-19,Thiruvananthapuram,42.0,28.1,86.3,None
2023-11-20,Thiruvananthapuram,30.3,30.3,94.0,None
2023-11-21,Thiruvananthapuram,44.6,27.5,95.0,None
2023-11-22,Thiruvananthapuram,29.5,25.8,88.9,None
2023-11-23,Thiruvananthapuram,47.4,26.1,89.3,None
2023-11-24,Thiruvananthapuram,6.4,28.5,83.5,None
2023-11-25,Thiruvananthapuram,66.9,28.9,82.1,None
2023-11-26,Thiruvananthapuram,14.5,26.3,83.1,None
2023-11-27,Thiruvananthapuram,4.6,22.7,83.5,None
2023-11-28,Thiruvananthapuram,7.9,28.6,91.7,None
2023-11-29,Thiruvananthapuram,56.9,25.4,82.1,None
2023-11-30,Thiruvananthapuram,5.0,30.1,95.1,None
2023-12-01,Thiruvananthapuram,4.8,24.7,66.3,None
2023-12-02,Thiruvananthapuram,3.1,26.5,66.3,None
2023-12-03,Thiruvananthapuram,1.7,25.7,65.3,None
2023-12-04,Thiruvananthapuram,4.6,28.0,77.3,None
2023-12-05,Thiruvananthapuram,4.9,29.1,60.2,None
2023-12-06,Thiruvananthapuram,0.2,24.6,65.4,None
2023-12-07,Thiruvananthapuram,0.5,26.4,73.1,None
2023-12-08,Thiruvananthapuram,2.3,30.2,61.5,None
2023-12-09,Thiruvananthapuram,4.8,27.6,67.8,None
2023-12-10,Thiruvananthapuram,2.1,27.0,73.0,None
2023-12-11,Thiruvananthapuram,3.9,28.1,66.0,None
2023-12-12,Thiruvananthapuram,0.7,27.1,68.1,None
2023-12-13,Thiruvananthapuram,0.3,30.0,65.1,None
2023-12-14,Thiruvananthapuram,5.0,28.2,65.5,None
2023-12-15,Thiruvananthapuram,2.6,27.0,68.1,None
2023-12-16,Thiruvananthapuram,2.0,28.5,60.7,None
2023-12-17,Thiruvananthapuram,0.7,30.0,74.7,None
2023-12-18,Thiruvananthapuram,2.1,27.4,62.3,None
2023-12-19,Thiruvananthapuram,4.8,25.1,64.2,None
2023-12-20,Thiruvananthapuram,2.1,29.1,67.7,None
2023-12-21,Thiruvananthapuram,2.7,29.8,61.7,None
2023-12-22,Thiruvananthapuram,3.5,30.7,64.2,None
2023-12-23,Thiruvananthapuram,4.4,26.9,61.7,None
2023-12-24,Thiruvananthapuram,1.5,27.5,61.3,None
2023-12-25,Thiruvananthapuram,0.8,31.8,68.9,None
2023-12-26,Thiruvananthapuram,1.2,28.5,68.3,None
2023-12-27,Thiruvananthapuram,1.3,29.5,61.5,None
2023-12-28,Thiruvananthapuram,4.3,24.1,58.6,None
2023-12-29,Thiruvananthapuram,3.0,29.5,70.6,None
2023-12-30,Thiruvananthapuram,1.0,29.8,66.9,None
2023-12-31,Thiruvananthapuram,4.7,31.4,68.7,None
2024-01-01,Thiruvananthapuram,0.4,27.2,64.3,None
2024-01-02,Thiruvananthapuram,5.0,25.7,64.4,None
2024-01-03,Thiruvananthapuram,1.9,29.6,68.7,None
2024-01-04,Thiruvananthapuram,2.3,29.8,61.2,None
2024-01-05,Thiruvananthapuram,2.3,29.2,57.8,None
2024-01-06,Thiruvananthapuram,4.3,33.0,56.2,None
2024-01-07,Thiruvananthapuram,4.1,30.1,68.1,None
2024-01-08,Thiruvananthapuram,4.6,25.9,64.8,None
2024-01-09,Thiruvananthapuram,2.5,25.7,57.4,None
2024-01-10,Thiruvananthapuram,1.9,29.6,72.4,None
2024-01-11,Thiruvananthapuram,4.3,28.3,56.1,None
2024-01-12,Thiruvananthapuram,0.6,29.9,66.2,None
2024-01-13,Thiruvananthapuram,0.3,29.4,67.3,None
2024-01-14,Thiruvananthapuram,0.3,29.0,58.6,None
2024-01-15,Thiruvananthapuram,2.0,27.3,69.2,None
2024-01-16,Thiruvananthapuram,4.3,28.8,72.6,None
2024-01-17,Thiruvananthapuram,4.7,26.1,70.5,None
2024-01-18,Thiruvananthapuram,0.5,25.0,65.2,None
2024-01-19,Thiruvananthapuram,1.2,28.9,59.4,None
2024-01-20,Thiruvananthapuram,0.9,25.9,61.4,None
2024-01-21,Thiruvananthapuram,3.9,28.9,65.0,None
2024-01-22,Thiruvananthapuram,3.3,24.2,66.1,None
2024-01-23,Thiruvananthapuram,1.1,25.7,62.4,None
2024-01-24,Thiruvananthapuram,4.3,26.0,60.4,None
2024-01-25,Thiruvananthapuram,3.6,25.2,64.3,None
2024-01-26,Thiruvananthapuram,1.9,29.4,66.2,None
2024-01-27,Thiruvananthapuram,1.7,28.2,70.6,None
2024-01-28,Thiruvananthapuram,0.1,25.1,64.5,None
2024-01-29,Thiruvananthapuram,3.5,26.9,65.0,None
2024-01-30,Thiruvananthapuram,3.0,29.2,61.0,None
2024-01-31,Thiruvananthapuram,0.1,31.5,68.9,None
2024-02-01,Thiruvananthapuram,2.0,26.7,66.5,None
2024-02-02,Thiruvananthapuram,2.8,29.0,67.6,None
2024-02-03,Thiruvananthapuram,1.7,29.4,73.8,None
2024-02-04,Thiruvananthapuram,0.1,26.7,64.2,None
2024-02-05,Thiruvananthapuram,4.6,27.1,75.6,None
2024-02-06,Thiruvananthapuram,2.2,27.3,61.5,None
2024-02-07,Thiruvananthapuram,3.9,26.6,61.1,None
2024-02-08,Thiruvananthapuram,3.1,26.2,64.3,None
2024-02-09,Thiruvananthapuram,4.9,26.3,66.7,None
2024-02-10,Thiruvananthapuram,4.8,31.6,62.2,None
2024-02-11,Thiruvananthapuram,2.0,31.0,67.2,None
2024-02-12,Thiruvananthapuram,3.8,31.7,67.2,None
2024-02-13,Thiruvananthapuram,3.9,30.8,64.5,None
2024-02-14,Thiruvananthapuram,3.9,26.5,59.7,None
2024-02-15,Thiruvananthapuram,4.4,25.6,64.7,None
2024-02-16,Thiruvananthapuram,3.4,30.1,61.4,None
2024-02-17,Thiruvananthapuram,1.5,28.3,68.9,None
2024-02-18,Thiruvananthapuram,4.2,29.2,55.5,None
2024-02-19,Thiruvananthapuram,1.6,26.2,63.2,None
2024-02-20,Thiruvananthapuram,0.8,28.3,67.0,None
2024-02-21,Thiruvananthapuram,2.2,29.6,64.1,None
2024-02-22,Thiruvananthapuram,4.6,28.8,73.7,None
2024-02-23,Thiruvananthapuram,0.7,26.9,62.4,None
2024-02-24,Thiruvananthapuram,3.6,29.1,58.6,None
2024-02-25,Thiruvananthapuram,0.6,29.6,61.7,None
2024-02-26,Thiruvananthapuram,0.3,30.3,64.2,None
2024-02-27,Thiruvananthapuram,2.7,25.1,72.5,None
2024-02-28,Thiruvananthapuram,2.5,25.1,63.0,None
2024-02-29,Thiruvananthapuram,4.8,29.3,56.4,None
2024-03-01,Thiruvananthapuram,6.1,33.5,77.1,None
2024-03-02,Thiruvananthapuram,9.2,30.9,52.9,None
2024-03-03,Thiruvananthapuram,2.4,37.2,70.6,Heatwave
2024-03-04,Thiruvananthapuram,0.7,33.3,70.2,None
2024-03-05,Thiruvananthapuram,4.7,34.5,77.5,None
2024-03-06,Thiruvananthapuram,9.2,32.9,53.5,None
2024-03-07,Thiruvananthapuram,0.3,34.3,48.7,None
2024-03-08,Thiruvananthapuram,2.2,29.1,54.6,None
2024-03-09,Thiruvananthapuram,1.1,33.4,72.5,None
2024-03-10,Thiruvananthapuram,4.5,41.0,57.7,Heatwave
2024-03-11,Thiruvananthapuram,3.1,28.3,85.0,None
2024-03-12,Thiruvananthapuram,5.0,30.7,84.7,None
2024-03-13,Thiruvananthapuram,3.6,29.8,74.2,None
2024-03-14,Thiruvananthapuram,2.7,37.7,60.9,Heatwave
2024-03-15,Thiruvananthapuram,9.9,30.5,74.5,None
2024-03-16,Thiruvananthapuram,0.2,37.3,68.4,Heatwave
2024-03-17,Thiruvananthapuram,3.5,30.6,78.1,None
2024-03-18,Thiruvananthapuram,4.4,34.7,78.1,None
2024-03-19,Thiruvananthapuram,9.1,34.4,63.6,None
2024-03-20,Thiruvananthapuram,4.2,32.5,60.4,None
2024-03-21,Thiruvananthapuram,8.4,36.2,75.3,None
2024-03-22,Thiruvananthapuram,7.2,32.2,69.8,None
2024-03-23,Thiruvananthapuram,0.4,33.4,77.0,None
2024-03-24,Thiruvananthapuram,2.6,33.5,60.3,None
2024-03-25,Thiruvananthapuram,5.0,35.4,81.2,None
2024-03-26,Thiruvananthapuram,0.8,31.5,80.2,None
2024-03-27,Thiruvananthapuram,7.8,32.6,78.4,None
2024-03-28,Thiruvananthapuram,0.5,36.7,68.7,None
2024-03-29,Thiruvananthapuram,4.6,30.5,69.3,None
2024-03-30,Thiruvananthapuram,6.3,38.4,68.7,Heatwave
2024-03-31,Thiruvananthapuram,0.5,33.1,86.9,None
2024-04-01,Thiruvananthapuram,8.3,38.8,72.5,Heatwave
2024-04-02,Thiruvananthapuram,7.5,35.0,70.2,None
2024-04-03,Thiruvananthapuram,6.4,33.8,60.5,None
2024-04-04,Thiruvananthapuram,5.6,35.1,68.5,None
2024-04-05,Thiruvananthapuram,1.1,38.6,79.3,Heatwave
2024-04-06,Thiruvananthapuram,3.0,35.5,74.4,None
2024-04-07,Thiruvananthapuram,3.7,35.5,61.8,None
2024-04-08,Thiruvananthapuram,6.0,32.9,56.7,None
2024-04-09,Thiruvananthapuram,0.1,33.2,86.4,None
2024-04-10,Thiruvananthapuram,5.2,29.7,58.2,None
2024-04-11,Thiruvananthapuram,9.1,37.3,75.9,Heatwave
2024-04-12,Thiruvananthapuram,3.9,39.7,51.4,Heatwave
2024-04-13,Thiruvananthapuram,5.0,33.4,88.5,None
2024-04-14,Thiruvananthapuram,9.6,36.0,72.6,None
2024-04-15,Thiruvananthapuram,4.8,33.3,87.8,None
2024-04-16,Thiruvananthapuram,2.8,34.8,80.4,None
2024-04-17,Thiruvananthapuram,5.6,31.1,67.9,None
2024-04-18,Thiruvananthapuram,6.9,34.3,78.1,None
2024-04-19,Thiruvananthapuram,9.7,37.8,78.8,Heatwave
2024-04-20,Thiruvananthapuram,1.1,36.5,56.2,None
